Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
Digikore Studios Limited,10/4/23,171,800,30.48,4.63,65.63,362.65,370.17,,281.58,270,270,283.5,283.5,65.79
Mangalam Alloys Limited,10/4/23,80,1600,54.91,14.65,,2.41,8.73,,5.57,80,76,80,76,-5
Updater Services Limited,10/4/23,300,50,640,44.31,4.5,0.89,1.45,,2.96,299.9,282,299.9,283.85,-5.38
Manoj Vaibhav Gems 'N' Jewellers Limited,10/3/23,215,69,270.2,11.74,1.08,5.4,1.73,,2.33,215,210,221.9,215.65,0.3
JSW Infrastructure Limited,10/3/23,119,126,2800,29.67,60.12,16.83,10.87,,39.36,143,141.75,157.3,157.3,32.18
Saakshi Medtech and Panels Limited,10/3/23,97,1200,45.16,10.18,37.35,200.78,75.88,,91.65,146,146,153.3,153.3,58.04
Master Components Limited,9/29/23,140,1000,15.43,27.09,,5.89,10.11,,8.2,140.4,140.15,142,140.2,0.14
Yatra Online Limited,9/28/23,142,105,775,205.8,2.1,0.43,2.19,,1.66,130,127.4,138.5,135.95,-4.26
Cellecor Gadgets Limited,9/28/23,92,1200,50.77,13.45,57.58,176.54,124.08,,116.33,92,88.15,96.6,96.6,5
Marco Cables & Conductors Limited,9/28/23,36,3000,18.73,20.22,,24.36,35.24,,30.9,38.7,37.05,40.6,40.6,12.78
Hi-Green Carbon Limited,9/28/23,75,1600,52.8,13.13,69.95,236.76,196.35,,168.92,77,75.45,80.85,80.85,7.8
Techknowgreen Solutions Limited,9/27/23,86,1600,16.72,9.71,,9.08,15.82,,12.98,87,86.1,91.35,91.35,6.22
Kody Technolab Limited,9/27/23,160,800,27.52,22.66,,41.17,53.56,,51.55,170,169,178.5,178.5,11.56
Sai Silks (Kalamandir) Limited,9/27/23,222,67,1201,27.37,12.17,2.54,0.91,,4.47,230.1,230.1,246.85,244.85,10.29
Signatureglobal (India) Limited,9/27/23,385,38,730,,13.37,14.24,7.17,,12.5,445,444.1,473.45,458.4,19.06
Madhusudan Masala Limited,9/26/23,70,2000,23.8,,86.91,574.08,592.73,,444.27,120,114,124,114,62.86
Kundan Edifice Limited,9/26/23,91,1200,25.22,13.3,,35.68,44.13,,42.27,75,71.25,78.75,78.75,-13.46
Chavda Infra Limited,9/25/23,65,2000,43.26,,95.1,241.96,202.07,,180.06,91,86.45,92,86.45,33
Holmarc Opto-Mechatronics Limited,9/25/23,40,3000,11.4,8.08,,93.27,75.78,,85.81,65.25,65,68.5,68.5,71.25
SAMHI Hotels Limited,9/22/23,126,119,1370.1,,9.18,1.29,1.17,,5.57,130.55,127.45,146.45,143.55,13.93
Zaggle Prepaid Ocean Services Limited,9/22/23,164,90,563.38,66.67,16.94,9.16,6.15,,12.86,162,155.6,176,158.3,-3.48
Meson Valves India Limited,9/21/23,102,1200,31.09,15.47,,132.74,203.02,,173.65,193.8,193.8,203.45,203.45,99.46
Unihealth Consultancy Limited,9/21/23,132,1000,56.55,,5.97,37.65,24.61,,18.22,135,130.25,141.75,133,0.76
EMS Limited,9/21/23,211,70,321.24,,149.98,84.39,30.55,,76.21,281.55,268.6,290.85,279.75,32.58
R R Kabel Limited,9/20/23,1035,14,1964.01,,52.26,13.23,2.13,2.69,18.69,1179,1137.6,1212.8,1196.65,15.62
Jiwanram Sheoduttrai Industries Limited,9/18/23,23,6000,17.07,9.91,,69.75,151.47,,112.96,30,28.5,30,28.5,23.91
Jupiter Life Line Hospitals Limited,9/18/23,735,20,869.08,52.68,181.89,36,8,,64.8,960,960,1107.5,1075.25,46.29
Kahan Packaging Limited,9/15/23,80,1600,5.76,7.74,,405.59,1042.37,,730.45,152,152,159.6,159.6,99.5
Pramara Promotions Limited,9/13/23,63,2000,15.27,,,33.99,17.14,,25.71,111,105.55,116.55,116.55,85
Saroja Pharma Industries India Limited,9/13/23,84,1600,9.11,23.27,,2.9,14.83,,8.88,65,65,68.25,68.25,-18.75
Ratnaveer Precision Engineering Limited,9/11/23,98,150,165.03,,133.05,135.21,54,,93.99,128,123,134.4,134.4,37.14
Basilic Fly Studio Limited,9/11/23,97,1200,66.35,,116.34,549.44,415.22,,358.6,271,270,284.55,284.55,193.35
Rishabh Instruments Limited,9/11/23,441,34,490.78,,72.54,31.29,8.44,,31.65,460,432.25,469.65,442.75,0.4
Mono Pharmacare Limited,9/7/23,28,4000,14.84,,10.89,8,19.4,,13.42,29,29,30.45,30.45,8.75
C P S Shapers Limited,9/7/23,185,600,11.1,11.28,,198.17,301.03,,253.97,450,427.5,472.5,472.5,155.41
Sahaj Fashions Limited,9/6/23,30,4000,13.96,,,3.78,11.72,,7.75,31,29.45,32,30.35,1.17
Vishnu Prakash R Punglia Limited,9/5/23,99,150,308.88,13.61,171.69,111.03,32.01,12.97,87.82,163.3,144,164.45,145.93,47.4
Sungarner Energies Limited,8/31/23,83,1600,5.31,13.07,,110.59,192.93,,152.4,250,237.5,262.5,262.35,216.08
Aeroflex Industries Limited,8/31/23,108,130,351,40.91,194.73,126.13,34.41,,97.11,197.4,162.1,197.4,163.15,51.06
Bondada Engineering Limited,8/30/23,75,1600,42.72,6.56,,115.46,100.05,,112.28,142.5,142.5,149.62,149.62,99.49
Crop Life Science Limited,8/30/23,52,2000,26.73,14.29,,1.56,7.15,,4.36,55.95,53.15,55.95,53.15,2.21
Shoora Designs Limited,8/29/23,48,3000,2.03,35.82,,34.68,93.73,,64.52,91.2,91.2,95.76,95.76,99.5
Pyramid Technoplast Limited,8/29/23,166,90,153.05,16.21,9.94,32.24,14.72,,18.29,185,175.75,188,175.75,5.87
Shelter Pharma Limited,8/23/23,42,3000,16.03,5.62,,6.59,22.28,,15.25,39.97,37.98,41.96,41.96,-0.1
TVS Supply Chain Solutions Limited,8/23/23,197,76,880,189.42,1.37,2.44,7.89,,2.85,206.3,199,208.5,200.95,2.01
Srivari Spices and Foods Limited,8/18/23,42,3000,9,9.59,79.1,786.11,517.95,,450.03,101.5,101.5,106.55,106.55,153.69
Concord Biotech Limited,8/18/23,741,20,1551,32.29,67.67,16.99,3.78,24.48,24.87,900.05,900,987.05,941.85,27.11
Sangani Hospitals Limited,8/17/23,40,3000,15.17,37.03,11.42,1.38,6.17,,4.54,44,41.8,44.5,41.85,4.63
Yudiz Solutions Limited,8/17/23,165,800,44.84,61.8,2.81,4.77,6.41,,5.03,185,181,191,181.4,9.94
SBFC Finance Limited,8/16/23,57,260,1025,40.42,203.61,51.82,11.6,6.21,74.06,81.99,81.99,95.3,92.21,61.77
Oriana Power Limited,8/11/23,118,1200,59.66,20.7,72.16,251.74,204.04,,176.58,302,286.9,317.1,317.1,168.73
Vinsys IT Services Limited,8/11/23,128,1000,49.84,12.51,36.95,105.75,111.56,,89,207.25,200.1,217.6,217.6,70
Zeal Global Services Limited,8/9/23,103,1200,36.46,13.83,,4.26,3.85,,4.06,170.15,170.15,170.15,170.15,65.19
Yatharth Hospital and Trauma Care Services Limited,8/7/23,300,50,686.55,39.16,86.37,38.62,8.66,,37.28,306.1,306.1,343.1,300,0
Khazanchi Jewellers Limited,8/7/23,140,1000,97,45.75,,1.74,0.78,,1.26,142.3,142.3,149.4,149.4,6.71
Shri Techtex Limited,8/4/23,61,2000,45.14,16.71,58.03,250.65,156.37,,148.44,81.15,77.2,85.2,85.2,39.67
Innovatus Entertainment Networks Limited,8/4/23,50,3000,7.74,41,,56.58,150.5,,105.21,46.52,46.52,48,46.52,-6.96
Yasons Chemex Care Limited,8/3/23,40,3000,20.57,22.47,,47.71,68.76,,59.6,32,30.4,33.6,33.6,-16
Netweb Technologies India Limited,7/27/23,500,30,631,59.67,220.69,83.21,19.48,55.92,90.55,942.5,875.6,953,910.5,82.1
Asarfi Hospital Limited,7/26/23,52,2000,26.94,12.78,50.6,451.62,167.81,,195.14,98.8,98.8,103.74,103.74,99.5
Service Care Limited,7/26/23,67,2000,20.68,21.2,5.1,2.64,10.54,,6.44,70.9,67.35,70.9,67.55,0.82
Ahasolar Technologies Limited,7/21/23,157,800,12.85,27.45,,23.37,46.18,,34.79,203,203,213.15,213.15,35.76
Utkarsh Small Finance Bank Limited,7/21/23,25,600,500,6.78,135.71,88.74,78.38,18.02,110.77,39.95,37.25,47.94,47.94,91.76
Drone Destination Limited,7/21/23,65,2000,44.2,64.35,50.46,243.85,250.09,,191.65,107.45,102.1,107.95,102.1,57.08
Kaka Industries Limited,7/19/23,58,2000,21.23,11.03,72.13,431.85,358.88,,292.66,110.2,110.2,115.71,115.71,99.5
AccelerateBS India Limited,7/19/23,90,1600,5.69,27.27,,39.25,59.11,,49.19,109.5,109.5,114.97,114.97,27.74
Senco Gold Limited,7/14/23,317,47,405,15.53,190.56,68.44,16.28,,77.25,431,401.4,443.8,404.95,27.74
Alphalogic Industries Limited,7/14/23,96,1200,12.88,22.3,,4.24,5.19,,5.34,96,96,98.3,96.29,0.3
Synoptics Technologies Limited,7/13/23,237,600,54.03,25.32,,2.58,2.54,,2.66,238,226.1,238,226.1,-4.6
Tridhya Tech Limited,7/13/23,42,3000,26.41,26.09,15.62,181.72,67.62,,72.38,42,39.9,44.1,44.1,5
Cyient DLM Limited,7/10/23,265,56,592,66.25,95.87,47.75,52.17,2.6,71.35,401,401,426.45,420.75,58.77
Global Pet Industries Limited,7/10/23,49,3000,13.23,23,,4.44,4.14,,4.3,52,51.5,54.6,52.8,7.76
ideaForge Technology Limited,7/7/23,672,22,567.29,87.5,125.81,80.58,85.2,96.65,106.06,1305.1,1257.8,1344,1295.5,92.78
Pentagon Rubber Limited,7/7/23,70,2000,16.17,18.76,27.62,153.33,130.7,,106.2,130,123.5,130,123.5,76.43
Essen Speciality Films Limited,7/6/23,107,1200,66.33,16.5,45.26,112.21,68.07,,71.03,140,140,147,147,37.38
Greenchef Appliances Limited,7/6/23,87,1600,53.62,14.87,17.11,96.01,62.63,,44.89,104,104,109.2,109.2,25.52
Magson Retail And Distribution Limited,7/6/23,65,2000,13.74,20.25,,6.09,7.38,,6.74,91.15,86.6,95.7,95.7,47.23
Veefin Solutions Limited,7/5/23,82,1600,46.73,41.41,,3.26,1.65,,2.46,86.05,86.05,90.35,90.22,10.02
HMA Agro Industries Limited,7/4/23,585,25,480,19.4,1.74,2.97,0.96,,1.62,615,570,670.45,584.75,-0.04
Cosmic CRF Limited,6/30/23,314,400,57.21,35.64,3.76,2.76,0.6,,1.16,251.2,238.65,251.2,238.65,-24
Aatmaj Healthcare Limited,6/30/23,60,2000,38.4,17.6,,36.78,30.27,,33.6,56,53.2,56,53.2,-11.33
Vilin Bio Med Limited,6/30/23,30,4000,12,24.59,,1.28,4.31,,2.8,30,28.5,30,28.5,-5
Cell Point (India) Limited,6/28/23,100,1200,50.34,24.1,,4.11,7.92,,6.03,100,95,100,95,-5
Bizotic Commercial Limited,6/23/23,175,800,42.21,36.38,,2,1.74,,1.87,180,171,182,171,-2.29
Urban Enviro Waste Management Limited,6/22/23,100,1200,11.42,30.49,,281.41,220.65,,255.49,141,141,148.05,148.05,48.05
Spectrum Talent Management Limited,6/22/23,173,800,105.14,15,11.21,11.68,13.1,,12.27,155,147.25,155,147.25,-14.88
Sonalis Consumer Products Limited,6/19/23,30,4000,2.83,6.56,,38.41,48.31,,43.48,38,38,39.9,39.9,33
IKIO Lighting Limited,6/16/23,285,52,606.5,32.13,163.06,65.38,14.31,,67.75,391,391,427.4,403.75,41.67
Kore Digital Limited,6/14/23,180,800,18,17.86,,49.67,33.26,,41.56,201,190.95,210,190.95,6.08
Comrade Appliances Limited,6/13/23,54,2000,12.3,17.14,21.86,162.67,72.08,,77.25,87,87,91.35,91.35,69.17
CFF Fluid Control Limited,6/12/23,165,800,85.8,30.22,,2.75,1.67,,2.21,175,175,183.75,183.75,11.36
Sahana System Limited,6/12/23,135,1000,32.74,16.88,9.7,7.07,12.97,,9.99,163,163,171.15,171.15,26.78
Infollion Research Services Limited,6/8/23,82,1600,21.45,14.24,70.72,560.71,264.1,,279.24,209,198.55,218,198.55,142.13
Hemant Surgical Industries Limited,6/5/23,90,1600,24.84,12.28,41.05,277.26,158.73,,150.59,171,171,179.55,179.55,99.5
Proventus Agrocom Limited,6/5/23,771,160,69.54,186.23,,4.65,0.74,,2.7,821,821,862.05,862.05,11.81
Vasa Denticity Limited,6/2/23,128,1000,54.07,30.62,37.26,156.09,58.07,,73.14,211,211,221.55,221.55,73.09
Crayons Advertising Limited,6/2/23,65,2000,41.8,9.39,45.2,231.59,169.94,,147.54,90,90,94.5,94.5,45.38
Remus Pharmaceuticals Limited,5/29/23,1229,100,47.69,21.09,10.75,229.31,49.81,,57.21,1711.25,1711.25,1796.8,1796.8,46.2
Krishca Strapping Solutions Limited,5/26/23,54,2000,17.93,3.43,36.1,786.89,572.83,,336.57,118.8,112.9,118.8,112.9,109.07
Auro Impex & Chemicals Limited,5/23/23,78,1600,27.07,12.07,31.67,104.05,50.72,,66.94,78,74.2,78.5,75.7,-2.95
Nexus Select Trust,5/19/23,100,150,3200,,4.81,,,,5.45,102.27,102.27,104.9,104.26,4.26
Innokaiz India Limited,5/11/23,78,1600,21.17,,23.93,303.92,46.1,,95.08,148.2,148.2,155.61,155.61,99.5
De Neers Tools Limited,5/11/23,101,1200,22.99,,3.72,60.16,11.88,,15.04,190,180.5,190,180.5,78.71
Mankind Pharma Limited,5/9/23,1080,13,4326.36,32.5,49.16,3.8,0.92,,15.32,1300,1300,1430,1424.05,31.86
Retina Paints Limited,5/3/23,30,4000,11.1,,,6.1,10.41,,8.29,29.05,28,30.5,30.5,1.67
Quicktouch Technologies Limited,5/2/23,61,2000,9.33,,,160.4,49.55,,107.26,92,92,96.6,61,0
A G Universal Limited,4/24/23,60,2000,8.72,3.12,,3.71,2.54,,3.36,60,57.25,61.5,60.1,0.17
Pattech Fitwell Tube Components Limited,4/21/23,50,3000,12,46.73,,2.05,1.9,,1.97,60,57.6,60.55,57.6,15.2
Sancode Technologies Limited,4/18/23,47,3000,5.15,10.71,,3.98,3.39,,3.68,64,60.8,67.2,60.8,29.36
Avalon Technologies Limited,4/18/23,436,34,865,55.54,3.77,0.43,0.88,,2.34,431,387.75,435.3,397.45,-8.84
MOS Utility Limited,4/18/23,76,1600,49.97,48.41,11.67,57.9,11.98,,21.14,90,90,94.5,94.5,24.34
Infinium Pharmachem Limited,4/17/23,135,1000,25.26,7.83,,1.8,1.86,,1.84,141.5,141.5,148.55,147.8,9.48
Exhicon Events Media Solutions Limited,4/17/23,64,2000,21.12,8.08,1,3.28,2.31,,1.95,64,64,67.2,67.2,5
Sotac Pharmaceuticals Limited,4/13/23,111,1200,33.3,132.14,1,4.04,0.91,,1.6,115,115,120.75,120.75,8.78
Maiden Forgings Limited,4/6/23,63,2000,23.84,8.38,1,1.42,1.12,,1.2,63,59.85,63,59.86,-4.98
Udayshivakumar Infra Limited,4/3/23,35,428,66,9.67,42.92,64.08,14.95,,32.49,30,29.15,31.5,31.5,-10
Dev Labtech Venture Limited,3/29/23,51,2000,11.22,32.9,,2.65,8.24,,5.47,51,48.45,51.2,50.21,-1.55
Command Polymers Limited,3/29/23,28,4000,7.09,121.74,,1.81,0.98,,1.39,26.75,25.45,27.42,26.5,-5.36
Nirman Agri Genetics Limited,3/28/23,99,1200,20.3,14.93,,1.22,2.2,,1.71,102,96.9,107.1,101.3,2.32
Bright Outdoor Media Limited,3/24/23,146,1000,55.48,24.21,,1.39,1.15,,1.27,150,150,157.5,157.5,7.88
Quality Foils (India) Limited,3/24/23,60,2000,4.52,4.16,,464.5,259.65,,364.38,100,95,102,97.7,62.83
Global Surfaces Limited,3/23/23,140,100,154.98,21.84,8.95,33.1,5.12,,12.21,163,156.3,171.15,170.9,22.07
Labelkraft Technologies Limited,3/23/23,55,2000,4.75,62.5,,46.84,59.84,,53.42,56,53.2,57.9,55.79,1.44
VELS Film International Limited,3/22/23,99,1200,33.74,58.58,,1.22,0.97,,1.1,101,101,106.05,103.4,4.44
Sudarshan Pharma Industries Ltd,3/22/23,73,1600,50.1,24.33,1.01,0.81,1.2,,1.06,73,69.35,73.25,69.35,-5
Prospect Commodities Limited,3/20/23,61,2000,7.48,31.44,,6.85,3.76,,5.31,61,61,64.05,61.45,0.74
MCON Rasayan India Limited,3/20/23,40,3000,6.84,14.71,,307.09,453.41,,384.64,48,48,50.4,50.4,26
Vertexplus Technologies Limited,3/15/23,96,1200,14.2,28.83,1.43,35.15,15.53,,11.01,101,101,106.05,106.05,10.47
Systango Technologies Limited,3/15/23,90,1600,34.82,15.13,14.1,230.36,66.59,,64.99,98,95,102.9,102.9,14.33
Divgi TorqTransfer Systems Limited,3/14/23,590,25,412.12,35.16,7.83,1.4,4.31,,5.44,600,557.2,615.75,605.15,2.57
ResGen Limited,3/13/23,47,3000,28.2,27.33,1.09,3.87,3.88,,2.5,49,46.55,49,46.57,-0.91
ITCONS E-Solutions Limited,3/13/23,51,2000,8.67,12.09,,16.12,17.45,,16.79,46.99,46,49.33,49.33,-3.27
SVJ Enterprises Limited,3/9/23,36,3000,6.12,12.9,,2.1,0.89,,1.49,38,36.1,38,36.1,0.28
Amanaya Ventures Limited,3/9/23,23,6000,2.76,92,,0.77,2.73,,1.75,20.1,19.1,21,19.1,-16.96
Srivasavi Adhesive Tapes Limited,3/9/23,41,3000,15.5,16.08,,7.12,8.38,,7.75,40,38.1,42,42,2.44
Patron Exim Limited,3/6/23,27,4000,16.69,28.72,,0.97,1.17,,1.07,28.4,26.98,28.4,26.98,-0.07
Viaz Tyres Limited,3/1/23,62,2000,20,24.9,,5.33,6.25,,5.79,68,68,71.4,68.05,9.76
Sealmatic India Limited,3/1/23,225,600,56.24,18.75,8.71,30.22,12.06,,16.61,225,216,236.25,236.25,5
Macfos Limited,3/1/23,102,1200,23.74,15.22,21.6,659.99,268.45,,193.87,184,174.8,184,174.8,71.37
Agarwal Float Glass India Limited,2/23/23,42,3000,9.2,5.68,,3.13,7.2,,5.16,44,42,44.5,44.05,4.88
Indong Tea Company Limited,2/21/23,26,4000,13.01,9.52,,2.17,7.76,,4.97,20.8,19.8,21.8,21.8,-16.15
Lead Reclaim and Rubber Products Limited,2/21/23,25,6000,4.88,25.77,,87.56,64.41,,75.98,27.5,27.15,28.5,27.65,10.6
Shera Energy Limited,2/17/23,57,2000,35.2,15.16,8.73,190.12,51.3,1.46,47.36,64.1,64,67.3,67.3,18.07
Earthstahl & Alloys Limited,2/8/23,40,3000,12.96,4.22,39.83,445.09,191.77,,235.18,55,52.5,57.75,57.75,44.38
Gayatri Rubbers and Chemicals Limited,2/7/23,30,4000,4.58,23.62,,33.65,42.23,,37.94,35,35,36.75,36.75,22.5
Transvoy Logistics India Limited,2/2/23,71,1600,5.11,34.63,,200,168.67,,184.34,71,67.5,74.55,74.55,5
DHARNI Capital Services Limited,1/31/23,20,6000,10.74,34.48,,6.32,6.83,,6.57,21,20.2,21.5,20.25,1.25
Aristo Bio-Tech and Lifescience Limited,1/30/23,72,1600,13.05,9.46,,285.84,149.59,,217.72,80,76.05,84,84,16.67
Ducol Organics And Colours Limited,1/19/23,78,1600,31.51,13.59,,58.15,31.11,,44.63,111.95,106.35,117.5,117.5,50.64
Eastern Logica Infoway Limited,1/17/23,225,600,16.94,24.09,,1.92,1.56,,1.74,270,256.5,283.5,283.5,26
Chaman Metallics Limited,1/16/23,38,3000,24.21,6.73,,255.92,159.85,,207.88,68,64.6,68,64.6,70
Sah Polymers Limited,1/12/23,65,230,66.3,33.51,2.4,32.69,39.78,,17.46,85,85,89.25,89.25,37.31
SVS Ventures Limited,1/12/23,20,6000,11.24,75,,0.53,2.01,,1.27,20.5,20.5,21.5,21.5,7.5
Rex Sealing and Packing Industries Limited,1/12/23,135,1000,8.09,19.62,,2,3.3,,2.65,137,136,143.85,143.85,6.56
Anlon Technology Solutions Limited,1/10/23,100,1200,15,11.71,54.53,883.58,447.06,,428.62,251.1,250,263.65,263.65,163.65
Radiant Cash Management Services Limited,1/4/23,94,150,256.64,17.34,1.01,0.66,0.21,,0.53,99.3,98,116.7,104.7,11.38
RBM Infracon Limited,1/4/23,36,3000,8.37,11.61,,46.32,34.33,,40.32,52.5,49.9,55.1,55.1,53.06
Homesfy Realty Limited,1/2/23,197,600,15.86,10.87,,26.82,16.55,,21.69,275.05,263,288.8,287.95,46.17
Moxsh Overseas Educon Limited,12/30/22,153,800,10.42,50,,93.1,107.78,,100.44,131,124.45,135,127.85,-16.44
Elin Electronics Limited,12/30/22,247,60,475,29.69,4.51,3.29,2.2,,3.09,243,225.6,244.75,227.8,-7.77
Uma Converter Limited,12/29/22,33,4000,18.41,10.31,,15.5,17.82,,16.66,34.25,33,34.5,33.15,0.45
Arihant Academy Limited,12/29/22,90,1600,14.72,19.11,,242.89,228.85,,235.87,120.1,120.1,126.1,126.1,40.11
